game_id,start_time,end_time,time_class,rules,white_username,white_result,black_username,black_result,moves,nMoves,blackMoves,whiteMoves,nBlackMoves,nWhiteMoves
372626070,2013-09-05T09:20:30,2013-09-05T09:54:49,Rapid,ChessRule,2902257,win,700231,resigned,"['e4', 'c5', 'Nf3', 'e6', 'd4', 'cxd4', 'Nxd4', 'Nc6', 'Nc3', 'Qc7', 'f4', 'a6', 'Be2', 'Nxd4', 'Qxd4', 'b5', 'Be3', 'Bb7', 'O-O-O', 'Rc8', 'a3', 'Nf6', 'Bf3', 'Bxa3', 'Rd3', 'Be7', 'Rd2', 'b4', 'Na4', 'O-O', 'Nb6', 'Rcd8', 'e5', 'Bxf3', 'gxf3', 'Nh5', 'Nxd7', 'b3', 'Rhd1', 'Qa5', 'cxb3', 'Bb4', 'Kb1', 'Bxd2', 'Rxd2', 'Qb5', 'Qb6', 'Rfe8', 'Nf6+', 'Nxf6', 'Rxd8', 'Rxd8', 'Qxd8+', 'Ne8', 'Bc5', 'h6', 'Ba3', 'Kh7', 'Qe7', 'Kg6', 'h4', 'Qc6', 'h5+', 'Kxh5', 'Qxf7+', 'g6', 'Bf8', 'Qxf3', 'Qxe8', 'Qxb3', 'Qd8', 'Qc4', 'Qd1+', 'Kh4', 'Bxh6', 'a5', 'Bg5+', 'Kg3', 'Qe1+', 'Kg4', 'Qxa5', 'Qf1+', 'Ka2', 'Qc4+', 'Ka3', 'Qd3+', 'b3', '1-0']",88,"['e4', 'Nf3', 'd4', 'Nxd4', 'Nc3', 'f4', 'Be2', 'Qxd4', 'Be3', 'O-O-O', 'a3', 'Bf3', 'Rd3', 'Rd2', 'Na4', 'Nb6', 'e5', 'gxf3', 'Nxd7', 'Rhd1', 'cxb3', 'Kb1', 'Rxd2', 'Qb6', 'Nf6+', 'Rxd8', 'Qxd8+', 'Bc5', 'Ba3', 'Qe7', 'h4', 'h5+', 'Qxf7+', 'Bf8', 'Qxe8', 'Qd8', 'Qd1+', 'Bxh6', 'Bg5+', 'Qe1+', 'Qxa5', 'Ka2', 'Ka3', 'b3']","['c5', 'e6', 'cxd4', 'Nc6', 'Qc7', 'a6', 'Nxd4', 'b5', 'Bb7', 'Rc8', 'Nf6', 'Bxa3', 'Be7', 'b4', 'O-O', 'Rcd8', 'Bxf3', 'Nh5', 'b3', 'Qa5', 'Bb4', 'Bxd2', 'Qb5', 'Rfe8', 'Nxf6', 'Rxd8', 'Ne8', 'h6', 'Kh7', 'Kg6', 'Qc6', 'Kxh5', 'g6', 'Qxf3', 'Qxb3', 'Qc4', 'Kh4', 'a5', 'Kg3', 'Kg4', 'Qf1+', 'Qc4+', 'Qd3+', '1-0']",44,44
613859708,2013-10-03T08:24:40,2013-10-03T09:03:48,Rapid,ChessRule,2903229,repetition,11601876,repetition,"['e4', 'Nf6', 'e5', 'Nd5', 'd4', 'd6', 'Nf3', 'g6', 'Bc4', 'c6', 'O-O', 'dxe5', 'Nxe5', 'Bg7', 'Re1', 'O-O', 'Bb3', 'Bf5', 'Nd2', 'Nd7', 'Ndf3', 'Nxe5', 'Nxe5', 'a5', 'a3', 'a4', 'Ba2', 'Be6', 'Qe2', 'Nc7', 'Bxe6', 'Nxe6', 'c3', 'Qd5', 'Nc4', 'Qb5', 'Be3', 'Rad8', 'Rad1', 'Rd5', 'Bc1', 'Rfd8', 'Ne3', 'Qxe2', 'Rxe2', 'R5d7', 'Nc4', 'b5', 'Ne5', 'Rd6', 'Rde1', 'c5', 'dxc5', 'Nxc5', 'Bf4', 'Ne6', 'Bg3', 'Rd1', 'Kf1', 'Bh6', 'Nc6', 'Rxe1+', 'Kxe1', 'Rd7', 'Re5', 'Rb7', 'f3', 'Kf8', 'Bf2', 'Bf4', 'Rd5', 'Bc1', 'Na5', 'Rb8', 'Nc6', 'Rb7', 'Na5', 'Rb8', 'Nc6', 'Rb7', '1/2-1/2']",81,"['e4', 'e5', 'd4', 'Nf3', 'Bc4', 'O-O', 'Nxe5', 'Re1', 'Bb3', 'Nd2', 'Ndf3', 'Nxe5', 'a3', 'Ba2', 'Qe2', 'Bxe6', 'c3', 'Nc4', 'Be3', 'Rad1', 'Bc1', 'Ne3', 'Rxe2', 'Nc4', 'Ne5', 'Rde1', 'dxc5', 'Bf4', 'Bg3', 'Kf1', 'Nc6', 'Kxe1', 'Re5', 'f3', 'Bf2', 'Rd5', 'Na5', 'Nc6', 'Na5', 'Nc6', '1/2-1/2']","['Nf6', 'Nd5', 'd6', 'g6', 'c6', 'dxe5', 'Bg7', 'O-O', 'Bf5', 'Nd7', 'Nxe5', 'a5', 'a4', 'Be6', 'Nc7', 'Nxe6', 'Qd5', 'Qb5', 'Rad8', 'Rd5', 'Rfd8', 'Qxe2', 'R5d7', 'b5', 'Rd6', 'c5', 'Nxc5', 'Ne6', 'Rd1', 'Bh6', 'Rxe1+', 'Rd7', 'Rb7', 'Kf8', 'Bf4', 'Bc1', 'Rb8', 'Rb7', 'Rb8', 'Rb7']",41,40
634471928,2013-10-31T08:44:56,2013-10-31T09:38:10,Rapid,ChessRule,302538,win,702358,resigned,"['d4', 'Nf6', 'c4', 'e6', 'Nf3', 'c5', 'd5', 'd6', 'Nc3', 'exd5', 'cxd5', 'g6', 'Bf4', 'a6', 'a4', 'Bg7', 'h3', 'Qe7', 'Nd2', 'Nbd7', 'e3', 'Ne5', 'Be2', 'O-O', 'O-O', 'Ne8', 'Bh2', 'f5', 'Re1', 'Nf6', 'Rb1', 'Qc7', 'Bxe5', 'dxe5', 'Nc4', 'e4', 'Qb3', 'Kh8', 'Red1', 'Rb8', 'a5', 'Qf7', 'Na4', 'Nd7', 'Nab6', 'Qe7', 'd6', 'Qf7', 'Qc2', 'f4', 'Bf1', 'fxe3', 'fxe3', 'Nxb6', 'Nxb6', 'Be6', 'Bc4', 'Rbd8', 'Bxe6', 'Qxe6', 'Qxc5', 'Be5', 'd7', 'Qf5', 'Kh1', 'Qg5', 'Rd5', 'Rf5', 'Nc4', 'Bb8', 'Rxf5', 'gxf5', 'Rd1', 'Qg3', 'Nd6', 'Rf8', 'Qc8', 'Qg8', 'Qxf8', 'Qxf8', 'd8=Q', '1-0']",82,"['d4', 'c4', 'Nf3', 'd5', 'Nc3', 'cxd5', 'Bf4', 'a4', 'h3', 'Nd2', 'e3', 'Be2', 'O-O', 'Bh2', 'Re1', 'Rb1', 'Bxe5', 'Nc4', 'Qb3', 'Red1', 'a5', 'Na4', 'Nab6', 'd6', 'Qc2', 'Bf1', 'fxe3', 'Nxb6', 'Bc4', 'Bxe6', 'Qxc5', 'd7', 'Kh1', 'Rd5', 'Nc4', 'Rxf5', 'Rd1', 'Nd6', 'Qc8', 'Qxf8', 'd8=Q']","['Nf6', 'e6', 'c5', 'd6', 'exd5', 'g6', 'a6', 'Bg7', 'Qe7', 'Nbd7', 'Ne5', 'O-O', 'Ne8', 'f5', 'Nf6', 'Qc7', 'dxe5', 'e4', 'Kh8', 'Rb8', 'Qf7', 'Nd7', 'Qe7', 'Qf7', 'f4', 'fxe3', 'Nxb6', 'Be6', 'Rbd8', 'Qxe6', 'Be5', 'Qf5', 'Qg5', 'Rf5', 'Bb8', 'gxf5', 'Qg3', 'Rf8', 'Qg8', 'Qxf8', '1-0']",41,41
30400944,2010-01-17T03:02:37,2010-02-05T03:02:37,Daily,ChessRule,13604040,win,24633569,timeout,"['e4', 'e5', 'Nf3', 'Nc6', 'Nc3', '1-0']",6,"['e4', 'Nf3', 'Nc3']","['e5', 'Nc6', '1-0']",3,3
30400926,2010-01-15T02:02:07,2010-02-07T02:02:07,Daily,ChessRule,13600079,timeout,1002457,win,"['e4', 'c5', '0-1']",3,"['e4', '0-1']",['c5'],2,1
1146748428,2015-05-09T19:13:50,2015-05-09T19:15:36,Bullet,ChessRule,13403508,win,4603966,timeout,"['e4', 'b6', 'd4', 'Bb7', 'Nc3', 'e6', 'Nf3', 'Nf6', 'Bd3', 'c5', 'e5', 'Nd5', 'Ne4', 'd6', 'c4', 'Nc7', 'dxc5', 'bxc5', 'O-O', 'dxe5', 'Nxe5', 'Nc6', 'Nf3', 'Nd4', 'Ne5', 'Bd6', 'Nxd6+', 'Qxd6', 'Bf4', 'Qe7', 'Qg4', 'Nf5', 'Bxf5', 'exf5', 'Qxg7', 'O-O-O', 'Qxf7', 'Qxf7', 'Nxf7', 'Ne6', 'Nxh8', 'Rxh8', 'Be5', 'Rg8', 'g3', 'Nd4', 'Bxd4', 'cxd4', 'Rad1', 'f4', 'Rxd4', 'fxg3', 'fxg3', 'h5', 'Rf7', 'h4', 'Rxh4', 'Re8', 'Kf2', 'Rd8', 'Ke3', 'Re8+', 'Kd2', 'Bg2', 'Rhh7', 'Rd8+', 'Kc3', 'Be4', 'Rhg7', 'Re8', 'Rxa7', 'Kd8', 'Rgd7+', 'Kc8', 'Rac7+', 'Kb8', 'Re7', '1-0']",78,"['e4', 'd4', 'Nc3', 'Nf3', 'Bd3', 'e5', 'Ne4', 'c4', 'dxc5', 'O-O', 'Nxe5', 'Nf3', 'Ne5', 'Nxd6+', 'Bf4', 'Qg4', 'Bxf5', 'Qxg7', 'Qxf7', 'Nxf7', 'Nxh8', 'Be5', 'g3', 'Bxd4', 'Rad1', 'Rxd4', 'fxg3', 'Rf7', 'Rxh4', 'Kf2', 'Ke3', 'Kd2', 'Rhh7', 'Kc3', 'Rhg7', 'Rxa7', 'Rgd7+', 'Rac7+', 'Re7']","['b6', 'Bb7', 'e6', 'Nf6', 'c5', 'Nd5', 'd6', 'Nc7', 'bxc5', 'dxe5', 'Nc6', 'Nd4', 'Bd6', 'Qxd6', 'Qe7', 'Nf5', 'exf5', 'O-O-O', 'Qxf7', 'Ne6', 'Rxh8', 'Rg8', 'Nd4', 'cxd4', 'f4', 'fxg3', 'h5', 'h4', 'Re8', 'Rd8', 'Re8+', 'Bg2', 'Rd8+', 'Be4', 'Re8', 'Kd8', 'Kc8', 'Kb8', '1-0']",39,39
1146773175,2015-05-09T19:43:17,2015-05-09T19:44:19,Bullet,ChessRule,8603219,win,13900196,resigned,"['g3', 'e5', 'Bg2', 'd5', 'd3', 'Nf6', 'Bg5', 'Nc6', 'Bxf6', 'gxf6', 'c3', 'Bf5', 'Qb3', 'Na5', 'Qa4+', 'c6', 'b4', '1-0']",18,"['g3', 'Bg2', 'd3', 'Bg5', 'Bxf6', 'c3', 'Qb3', 'Qa4+', 'b4']","['e5', 'd5', 'Nf6', 'Nc6', 'gxf6', 'Bf5', 'Na5', 'c6', '1-0']",9,9
1146774115,2015-05-09T19:45:44,2015-05-09T19:47:03,Bullet,ChessRule,13401521,timeout,739049,win,"['d4', 'e6', 'c4', 'f5', 'Nc3', 'Nf6', 'f3', 'd6', 'Bg5', 'Be7', 'e3', 'O-O', 'Bd3', 'c6', 'Nge2', 'Qe8', 'Qc2', 'g6', 'O-O-O', 'a5', 'Rdg1', 'Na6', 'a3', 'e5', 'h4', 'Nh5', 'g4', 'fxg4', 'fxg4', 'Ng7', 'Bh6', 'exd4', 'Nxd4', 'Bf6', 'h5', 'g5', 'Bxh7+', 'Kh8', 'Bg6', 'Qxe3+', 'Kb1', 'Qxd4', 'Rd1', 'Qe5', 'Rhe1', 'Qf4', 'Re4', 'Qf3', 'Rxd6', 'Bxg4', 'Rxf6', 'Qxf6', 'Re1', 'Nc5', 'Qe2', 'Bxe2', 'Rxe2', 'Qf1+', 'Ka2', 'Qxe2', '0-1']",61,"['d4', 'c4', 'Nc3', 'f3', 'Bg5', 'e3', 'Bd3', 'Nge2', 'Qc2', 'O-O-O', 'Rdg1', 'a3', 'h4', 'g4', 'fxg4', 'Bh6', 'Nxd4', 'h5', 'Bxh7+', 'Bg6', 'Kb1', 'Rd1', 'Rhe1', 'Re4', 'Rxd6', 'Rxf6', 'Re1', 'Qe2', 'Rxe2', 'Ka2', '0-1']","['e6', 'f5', 'Nf6', 'd6', 'Be7', 'O-O', 'c6', 'Qe8', 'g6', 'a5', 'Na6', 'e5', 'Nh5', 'fxg4', 'Ng7', 'exd4', 'Bf6', 'g5', 'Kh8', 'Qxe3+', 'Qxd4', 'Qe5', 'Qf4', 'Qf3', 'Bxg4', 'Qxf6', 'Nc5', 'Bxe2', 'Qf1+', 'Qxe2']",31,30
1146776713,2015-05-09T19:48:23,2015-05-09T19:49:43,Bullet,ChessRule,4129709,win,700550,checkmated,"['e4', 'e5', 'd4', 'Nc6', 'd5', 'Nce7', 'Nc3', 'Ng6', 'f4', 'h6', 'f5', 'N6e7', 'Nf3', 'a6', 'Nxe5', 'f6', 'Qh5+', 'g6', 'fxg6', 'Bg7', 'Nf7', 'd6', 'Nxd8', 'Kxd8', 'Bc4', 'Bd7', 'O-O', 'b5', 'Bb3', 'Rb8', 'Be3', 'Kc8', 'a4', 'Rb7', 'axb5', 'axb5', 'Ra8+', 'Rb8', 'Rfa1', 'c5', 'dxc6', 'Bxc6', 'Rxb8+', 'Kxb8', 'Nd5', 'Bxd5', 'exd5', 'Kc7', 'Qe2', 'Nf5', 'Qxb5', 'Nxe3', 'Qc6+', 'Kd8', 'Ra8+', 'Ke7', 'Re8#', '1-0']",58,"['e4', 'd4', 'd5', 'Nc3', 'f4', 'f5', 'Nf3', 'Nxe5', 'Qh5+', 'fxg6', 'Nf7', 'Nxd8', 'Bc4', 'O-O', 'Bb3', 'Be3', 'a4', 'axb5', 'Ra8+', 'Rfa1', 'dxc6', 'Rxb8+', 'Nd5', 'exd5', 'Qe2', 'Qxb5', 'Qc6+', 'Ra8+', 'Re8#']","['e5', 'Nc6', 'Nce7', 'Ng6', 'h6', 'N6e7', 'a6', 'f6', 'g6', 'Bg7', 'd6', 'Kxd8', 'Bd7', 'b5', 'Rb8', 'Kc8', 'Rb7', 'axb5', 'Rb8', 'c5', 'Bxc6', 'Kxb8', 'Bxd5', 'Kc7', 'Nf5', 'Nxe3', 'Kd8', 'Ke7', '1-0']",29,29
1146779863,2015-05-09T19:52:44,2015-05-09T19:53:56,Bullet,ChessRule,13602470,timeout,32084030,win,"['Nc3', 'e6', 'Nf3', 'd5', 'e4', 'd4', 'Ne2', 'c5', 'c3', 'Nc6', 'cxd4', 'cxd4', 'Qa4', 'Bc5', 'b4', 'Bb6', 'b5', 'Nce7', 'Nexd4', 'Nf6', 'd3', 'O-O', 'Be2', 'a6', 'Qb3', 'e5', 'Nc2', 'a5', 'O-O', 'Be6', 'Qb1', 'Nd7', 'd4', 'exd4', 'Ncxd4', 'Bg4', 'Be3', 'Ng6', 'Nf5', 'Bxe3', 'Nxe3', 'Be6', 'Nd4', 'Qe7', 'Ndf5', 'Bxf5', 'Nxf5', 'Qe5', 'Bf3', 'Nf6', 'Qc1', 'Qxb5', 'Rb1', 'Qd7', 'Rd1', 'Qe6', 'Rxb7', 'Nxe4', 'Re1', 'Qxf5', 'Bxe4', 'Qg4', 'Rb3', 'Rae8', 'Rg3', 'Qh5', 'Bf3', 'Qb5', '0-1']",69,"['Nc3', 'Nf3', 'e4', 'Ne2', 'c3', 'cxd4', 'Qa4', 'b4', 'b5', 'Nexd4', 'd3', 'Be2', 'Qb3', 'Nc2', 'O-O', 'Qb1', 'd4', 'Ncxd4', 'Be3', 'Nf5', 'Nxe3', 'Nd4', 'Ndf5', 'Nxf5', 'Bf3', 'Qc1', 'Rb1', 'Rd1', 'Rxb7', 'Re1', 'Bxe4', 'Rb3', 'Rg3', 'Bf3', '0-1']","['e6', 'd5', 'd4', 'c5', 'Nc6', 'cxd4', 'Bc5', 'Bb6', 'Nce7', 'Nf6', 'O-O', 'a6', 'e5', 'a5', 'Be6', 'Nd7', 'exd4', 'Bg4', 'Ng6', 'Bxe3', 'Be6', 'Qe7', 'Bxf5', 'Qe5', 'Nf6', 'Qxb5', 'Qd7', 'Qe6', 'Nxe4', 'Qxf5', 'Qg4', 'Rae8', 'Qh5', 'Qb5']",35,34
