Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
7900970,DZA,F,1988,WGM,2071,1979,2009,wa,Mezioud, Amina
109878,ARG,F,1985,International_Master,2346,2375,2294,wa,Lujan, Carolina
100536,ARG,F,1970,WGM,2248,2270,2239,wa,Amura, Claudia
13300210,ARM,F,1978,Grand_Master,2407,2358,2289,wa,Danielian, Elina
13308130,ARM,F,2001,WGM,2402,2304,2263,wa,Sargsyan, Anna M.
13300601,ARM,F,1982,International_Master,2388,2306,2319,wa,Mkrtchian, Lilit
13301314,ARM,F,1983,International_Master,2285,2282,2275,wi,Galojan, Lilit
13300270,ARM,F,1994,WGM,2228,2147,2210,wa,Gevorgyan, Maria
4129709,ARM,F,1986,WGM,2221,2281,1925,wa,Kursova, Maria
13300628,ARM,F,1981,WGM,2207,1931,1925,wi,Aginian, Nelly
13300610,ARM,F,1977,WGM,2032,1931,1925,wi,Movsisyan, Naira
3202232,AUS,F,1957,WGM,2350,1931,1925,wi,Nutu-Gajic, Daniela
4127714,AUS,F,1974,WGM,2299,2259,2232,wa,Ryjanova, Julia
8602867,AUS,F,1986,WGM,2245,2246,1925,wa,Zhang, Jilin
3201937,AUS,F,1965,International_Master,2081,2100,2087,wa,Berezina, Irina
14902052,AUT,F,1982,WGM,2296,2285,2267,wa,Theissl Pokorna, Regina
1614142,AUT,F,1985,FIDE_Master,2204,2147,2189,wa,Ragger, Anna-Christina
13403729,AZE,F,2000,International_Master,2443,2280,2242,wa,Mammadzada, Gunay
13403508,AZE,F,1991,International_Master,2382,2400,2328,wa,Mammadova, Gulnar
13406396,AZE,F,2001,WGM,2376,2093,2119,wa,Balajayeva, Khanim
13400045,AZE,F,1975,WGM,2314,2304,1925,wi,Kadimova, Ilaha
13400010,AZE,F,1970,WGM,2313,1931,1925,wi,Sofieva, Ainur
13402005,AZE,F,1989,WGM,2309,2243,2263,wa,Mamedjarova, Turkan
13403052,AZE,F,1996,WGM,2301,2310,2240,wa,Fataliyeva, Ulviyya
13402137,AZE,F,1989,WGM,2281,2157,2171,wa,Umudova, Nargiz
13402625,AZE,F,1994,WGM,2279,2031,2109,wi,Khalafova, Narmin
13401521,AZE,F,1983,WGM,2274,2198,2250,wa,Mamedjarova, Zeinab
13401807,AZE,F,1993,WGM,2263,2022,2060,wa,Abdulla, Khayala
13400029,AZE,F,1970,WGM,2240,1931,1925,wi,Velikhanli, Firuza
13401491,AZE,F,1999,WGM,2238,2104,1990,wi,Hojjatova, Aydan
13402951,AZE,F,1993,WGM,2217,1931,2269,wa,Kazimova, Narmin
14102110,BEL,F,1980,International_Master,2258,2245,2277,wi,Zozulia, Anna
14400073,BIH,F,1964,WGM,2231,1931,1925,wa,Misanovic, Vesna
13509926,BLR,F,2002,International_Master,2427,2246,2197,wa,Badelka, Olga
13505211,BLR,F,1995,International_Master,2373,2299,2271,wi,Ziaziulkina, Nastassia
13502875,BLR,F,1975,WGM,2253,1931,1925,wi,Romanova, Inna
13505300,BLR,F,1993,FIDE_Master,2196,2167,2025,wi,Stetsko, Lanita
13500201,BLR,F,1969,WGM,2153,2130,1925,wa,Lagvilava, Genrieta
13500210,BLR,F,1958,WGM,2065,2062,2044,wa,Eidelson, Rakhil
13502336,BLR,F,1985,WGM,2065,2058,1962,wi,Herasimovich, Volha
2109220,BRA,F,1991,FIDE_Master,2252,2212,2225,wa,Terao, Juliana Sayumi
2902257,BGR,F,1979,Grand_Master,2462,2461,2485,wa,Stefanova, Antoaneta
2915138,BGR,F,2003,International_Master,2372,2085,1973,wa,Salimova, Nurgyul
2907763,BGR,F,1987,International_Master,2322,2319,2248,wi,Videnova, Iva
2922029,BGR,F,2004,FIDE_Master,2296,1605,1459,wa,Krasteva, Beloslava
2916711,BGR,F,2003,FIDE_Master,2274,2035,1850,wa,Peycheva, Gergana
2908689,BGR,F,1988,WGM,2247,2276,2184,wi,Nikolova, Adriana
2915235,BGR,F,2002,FIDE_Master,2238,2110,2179,wa,Antova, Gabriela
2903229,BGR,F,1978,WGM,2217,1931,1925,wa,Djingarova, Emilia
2903210,BGR,F,1976,WGM,2197,1931,2276,wi,Velcheva, Maria
2900602,BGR,F,1963,WGM,2186,2282,2212,wa,Voyska, Margarita
4150740,CAN,F,1987,WGM,2261,2265,2215,wa,Burtasova, Anna
2620472,CAN,F,2002,WGM,2257,2113,1886,wa,Ouellet, Maili-Jade
505161,CAN,F,2000,FIDE_Master,2229,1931,1925,wa,Zhou, Qiyu
8602980,CHN,F,1994,Grand_Master,2658,2621,2601,wa,Hou, Yifan
8600147,CHN,F,1970,Grand_Master,2574,1931,1925,wi,Xie, Jun
8603006,CHN,F,1991,Grand_Master,2560,2610,2536,wa,Ju, Wenjun
8603642,CHN,F,1991,Grand_Master,2510,2501,2510,wa,Tan, Zhongyi
8605114,CHN,F,1997,Grand_Master,2505,2527,2530,wa,Lei, Tingjie
8602727,CHN,F,1987,WGM,2491,1931,1925,wi,Ruan, Lufei
8601283,CHN,F,1985,Grand_Master,2486,2442,2407,wa,Zhao, Xue
8600430,CHN,F,1975,WGM,2484,1931,1925,wi,Wang, Lei
8600350,CHN,F,1974,WGM,2466,1931,1925,wi,Qin, Kanying
8600635,CHN,F,1976,Grand_Master,2465,1931,1925,wi,Xu, Yuhua
8608059,CHN,F,2002,WGM,2459,2326,2249,wa,Zhu, Jiner
