,Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
0,700070,HUN,F,1976.0,GM,2675,2646.0,2736.0,wi,Polgar, Judit
1,8602980,CHN,F,1994.0,GM,2658,2621.0,2601.0,wa,Hou, Yifan
2,5008123,IND,F,1987.0,GM,2586,2483.0,2483.0,wa,Koneru, Humpy
3,4147103,RUS,F,1998.0,GM,2582,2502.0,2441.0,wa,Goryachkina, Aleksandra
4,700088,HUN,F,1969.0,GM,2577,1931.0,1925.0,wi,Polgar, Susan
5,8600147,CHN,F,1970.0,GM,2574,1931.0,1925.0,wi,Xie, Jun
6,8603006,CHN,F,1991.0,GM,2560,2610.0,2536.0,wa,Ju, Wenjun
7,14109336,RUS,F,1989.0,GM,2546,2521.0,2608.0,wa,Lagno, Kateryna
8,14114550,UKR,F,1992.0,GM,2544,2506.0,2326.0,wa,Muzychuk, Mariya
9,12801259,LTU,F,1983.0,GM,2538,2394.0,2435.0,wi,Cmilyte, Viktorija
10,14111330,UKR,F,1990.0,GM,2535,2533.0,2505.0,wa,Muzychuk, Anna
11,13601903,GEO,F,1987.0,GM,2524,2447.0,2391.0,wa,Dzagnidze, Nana
12,5015197,IND,F,1991.0,GM,2515,2450.0,2422.0,wa,Harika, Dronavalli
13,8603642,CHN,F,1991.0,GM,2510,2501.0,2510.0,wa,Tan, Zhongyi
14,8605114,CHN,F,1997.0,GM,2505,2527.0,2530.0,wa,Lei, Tingjie
15,13600036,GEO,F,1961.0,GM,2500,2432.0,2437.0,wi,Chiburdanidze, Maia
16,13700090,KAZ,F,1996.0,IM,2500,2412.0,2378.0,wa,Saduakassova, Dinara
17,4198026,RUS,F,1993.0,IM,2494,2384.0,2364.0,wa,Kashlinskaya, Alina
18,12512214,IRI,F,1997.0,IM,2494,2393.0,2431.0,wa,Khademalsharieh, Sarasadat
19,8602727,CHN,F,1987.0,WGM,2491,1931.0,1925.0,wi,Ruan, Lufei
20,8601283,CHN,F,1985.0,GM,2486,2442.0,2407.0,wa,Zhao, Xue
21,8600430,CHN,F,1975.0,WGM,2484,1931.0,1925.0,wi,Wang, Lei
22,4134974,RUS,F,1985.0,GM,2483,2516.0,2519.0,wi,Kosintseva, Nadezhda
23,13703544,KAZ,F,2000.0,IM,2478,2462.0,2409.0,wa,Abdumalik, Zhansaya
24,13600079,GEO,F,1962.0,IM,2475,1931.0,1925.0,wi,Ioseliani, Nana
25,13601458,GEO,F,1984.0,IM,2475,2383.0,2332.0,wa,Javakhishvili, Lela
26,4133471,RUS,F,1986.0,GM,2475,2496.0,2506.0,wi,Kosintseva, Tatiana
27,4147855,RUS,F,1985.0,WGM,2475,2499.0,2311.0,wa,Pogonina, Natalija
28,4641833,GER,F,1985.0,IM,2473,2369.0,2396.0,wa,Paehtz, Elisabeth
29,4128125,RUS,F,1984.0,GM,2471,2517.0,2521.0,wa,Kosteniuk, Alexandra
30,4195752,RUS,F,1991.0,WGM,2469,2471.0,2297.0,wa,Girya, Olga
31,8600350,CHN,F,1974.0,WGM,2466,1931.0,1925.0,wi,Qin, Kanying
32,8600635,CHN,F,1976.0,GM,2465,1931.0,1925.0,wi,Xu, Yuhua
33,1700030,SWE,F,1963.0,GM,2464,2396.0,2320.0,wa,Cramling, Pia
34,2902257,BUL,F,1979.0,GM,2462,2461.0,2485.0,wa,Stefanova, Antoaneta
35,8608059,CHN,F,2002.0,WGM,2459,2326.0,2249.0,wa,Zhu, Jiner
36,13602640,GEO,F,1988.0,GM,2458,2413.0,2320.0,wa,Khotenashvili, Bela
37,13602993,GEO,F,1987.0,GM,2457,2425.0,2278.0,wa,Batsiashvili, Nino
38,24171760,RUS,F,2001.0,WGM,2454,2379.0,2319.0,wa,Shuvalova, Polina
39,4130189,TUR,F,1982.0,IM,2450,2419.0,2228.0,wa,Atalik, Ekaterina
40,700231,HUN,F,1974.0,IM,2450,1931.0,1925.0,wi,Polgar, Sofia
41,723916,GRE,F,1983.0,IM,2448,1931.0,1925.0,wi,Dembo, Yelena
